レビュー文, スコア
あたしらの世代はインクレディブルみたいな、アメリカンヒーローでは無くて、ウルトラマンや仮面ライダーといった日本のオリジナルのヒーローで十分満足していて、その中には既にインクレディブルにもあるような、家族問題や人間としての葛藤等といった複雑な内容を盛り込んでいたからだと思います, 191.757524
アンチヒーロー、駄目ヒーローなどヒーロー物は様々あって面白いですが、強い正統派ヒーローが消えた一発屋芸人みたいにひっそり暮らすハメになってしまうのは、切り口として斬新で面白かったです, 187.844727
なぜヒーローが存在するのか、どういう原理でスーパーパワーを持っているのか、現実にヒーローが力を振るうとどうなるのか、細かい辻褄合わせは不可欠であり、そのため「これぞヒーロー」という醍醐味の再現は非常に困難な状況となっています, 178.403053
冒頭で「必要とされなくなったヒーロー」なんて自分好みの展開でまず心をがっしり掴まれ、アニメだからこそできる派手でテンポのいいアクションで楽しませてくれ、テーマの家族愛でほろっとくる, 138.447014
当時の強大な帝国主義が覇権を争う弱肉強食の国際情勢の中で、「植民地にされるか、植民地を持って強国になるか」の二択しかなかった当時の日本の置かれた立場を含めた正しい歴史認識や公の論理を無視した反戦映画は、このように子供はおろか、大人までも思考停止を促す結果にしかならない, 134.606030
当時の強大な帝国主義が覇権を争う弱肉強食の国際情勢の中で、「植民地にされるか、植民地を持って強国になるか」の二択しかなかった当時の日本の置かれた立場を含めた正しい歴史認識や公の論理を無視した反戦映画は、このように子供はおろか、大人までも思考停止を促す結果にしかならない, 134.606030
脚本は能力の活かし方だけでなく、伏線が秀逸で、ダッシュの「じゃ、誰も特別じゃないんだ」というセリフが後のシンドロームの「スーパーヒーローは必要なくなる」というセリフにリンクしたり、公園でのロング・パスがラストに繋がったりと、非常に芸が細かい, 124.374633
スーパーヒーローというのは何かと暮らしにくいというのはスパイダーマンでも描かれていたとおりで、家族それぞれがすごい能力を持っていると大変なことになるものだなあ, 123.116456
ジョニー・デップの存在感に加え、原色を使ったセットの数々はいつもながらセンスを感じさせるし、いざというときに歌うウンパルンパも楽しいが、それ以上に盛り込まれたブラック・ユーモアはファンタジーというよりも教訓的な寓話を作り上げていて、そこがバートンの父親の視点も強く感じさせる, 121.550728
面白い設定は準備したものの、キャラクターに特殊能力は与えたものの、各種アイテムは配置したものの、それらを活かせていない作品がマンガ、アニメ、実写関わらず大変多いことからも、ここまできっちりと各キャラクターを使い切れている作品は大変に稀有と言えます（スパイダーマンですら「予知能力」という伏線を完全に放棄しているくらいですから）, 120.679811
しかし、80年代のコミックが元ネタにもかかわらず、エポック・メイキングと言われてしまうのはまだまだ映画がヒーローの概念に疑問を投げかけることも出来ずにいるということか（「バットマン・ビギンズ」は政府公認ヒーローではないのがミソ）, 119.251118
胸をワクワクさせるチョコレート工場のチョコレート製造のオープニングから、チョコレート工場の門が開くまでここまででも十分面白いのに、そこから当の主人公ウィリー・ウォンカが登場して物語は更に面白くなる, 115.689469
ビッグ・フィッシュやシザーハンズの様なティム・バートン独特の大人のファンタジー感を期待していたのですが、この作品は１００％子供をターゲットにしたファンタジー作品でした, 110.280443
家族４人がそれぞれ違うスーパーパワーを持っていて、場面ごとに違った能力で家族を救う, 107.514801
吹き替え版を見たのですが…今まで吹き替え版と言うのは避けて来てたのですが、アニメだけに吹き替え版でも特に問題なく、と言うより違和感なく、画面にも集中できるのでもしかして、アニメ等は吹き替え版の方がよいのでは, 105.895554
家族それぞれのキャラクターの作り込みがちゃんとできているのが良いし、ヒーローものの枠組をきちんと維持しながら、作品特有のテーマをきちんと絞り込んでいるのも良い, 105.353317
スーパーパワーとか、敵側の謎の美女とか、家族愛とか、アニメに必要なアイテムが大体そろっていて、最後はハッピーエンド, 104.990699
正体を隠して倦んだ生活をしているイラスティガールの髪の毛は、年相応に乱れていますが、スーパーヒーローとなって活躍を始めると艶を取り戻します, 104.531740
