レビュー文, スコア
ロビンさんサイコーありがとうロビン期待しすぎたかな・・・マット・デイモンのしょぼい演技がひたすら印象に残った、というかミニードライバー・ロビンウィリアムズ・ラストのベンアフレックの役がら魅力が多く肝心の主人公の魅力が少ないのは演技のせいか役柄からか, 292.150824
映画素人だったマット・デイモンが脚本を自ら持ち込んだという映画だが、彼はこの映画の主人公同様、ハーバード大学の超天才だし、そのうち監督としても徐々に才能を魅せ付けて行くだろうあのヒロインに違和感を感じまくりで、いいストーリーで感動もしたのだけれど６点止まり, 153.631143
しかし、マット・デイモンがロビンと徐々に心の交流を深めていき、最終的に自分の殻を破って新しい道へ”旅立っていく”までの過程はなかなか見応えがあった, 131.975864
マット･デイモンとベン･アフレックが20代で書いた共同脚本は、二組の世代のちがう男性の友情を描いてなかなかの出来, 130.234763
ロビン・ウィリアムスの演技が光っていましたし、親友としてのベン・アフレックも良かったのに何故か釈然としないものが残りました, 129.521454
マット・デイモンとベン・アフレックは決して、天才だからこうだ、というふうに描いているわけではありません, 125.536157
ロビン・ウィリアムス、マット・デイモンの役柄も良かったし、ベンアフレックも良かったー, 117.935255
マットデイモンによるマットデイモンのための映画、僕の魅力満載ですって感じです, 117.585958
ロビンやっぱりいいですね♪ロビン・ウィリアムズの演技は感動をあたえるというか、なんかグっとくるんだよね, 110.320331
主人公の親友役のベン・アフレックは好演をしていたが、彼の演技に好印象を受けたのは今作以外には無い, 109.663067
どうしても、ロビンとして、見えてしまうので…ロビン・ウィリアムスの存在が作品に重厚感を与えている, 107.291187
ひげのロビンウィリアムスもなかなかしぶくて好きです良くないわけではなかったけど、あまりの前評判やアカデミーの受賞で期待しすぎていたか、普通の映画としか思えなかったです, 102.583411
ただ、ロビンウィリアムスは、演技は良かったのですが、キャラクターが濃すぎるので、あの役には、向かないのではと思いました, 93.299966
ロビンの薦めた会社を蹴って、あのブサイクを追いかけていくことがデイモンの初めて本にも載ってない自分自身で導き出した「答え」だからこそ、絵空事とは思えない、何とも言えないリアリティのある感動に繋がるんだろう, 93.137280
そのウィルを、立ち直らせようとする心理学者ショーン（ロビン・ウィリアムズ）、その交流を描いた、コテコテのヒューマンドラマです, 89.844395
どうもマットとベンが自分たちを売り込むために脚本書いた、そんな雰囲気が鼻についてダメでした, 86.989061
いいヒューマンドラマだし、会話の掛け合いも楽しみのひとつＭ・デイモンとＢ・アフレックは、どうやってお互いの配役を決めたのか、公開当時から疑問でした, 82.271892
ロビン・ウィリアムス演じる先生には心開いたとしたって、社会に出て人付き合いがはたしてうまく行くのか, 80.986143
結局は、序盤の家族の冷たい態度も、ラストの家族愛を強調するための、まさに「設定のための設定」であり、その出来レースのような感動前提の脚本構成にはシラけるばかりでした, 79.771084
ロビン・ウィリアムスがアカデミー助演男優賞を受賞した映画だが、どうしてだろう, 79.623698
まあ私は偶然にもウィルと同じ境遇なもんで～というのは残念ながら大ウソですが、「人生の傍観者」から「人生の主人公」へと踏み出そうと決心するまでの過程が、周囲の人間を活き活きと描くことによってやや間接的に描かれてて、違和感なく感動することができました, 78.960099
ロビンウィリアムスの一言一言が胸を揺るがす感じで、見ていて優しい気持ちになれる, 76.271560
ロビン・ウィリアムズを含め教授陣の演技が、この映画にリアリティを与えたと思う, 75.976769
その二人が親友どうしだなんて・・・ロビンウィリアムズ・マットデイモン・ミニードライバー・ベンアフレック、４人とも非常に性格的に好きなのでおもいきりのめりこみました, 75.577915
工事現場でのマットとベンのシーンが印象的でした, 74.099159
この手の役はマット・デイモンは上手いね～, 72.448423
なにより、ロビン・ウィリアムスのやさしい演技がすごく素敵だった, 72.377273
某掲示板などでは、このアニメ・マンガ・小説に詳しい方々らが盛んに消失の話は格段に良いという事が数年前からよく書かれていたので密かに期待していたのですが、いざレンタルて観たところ、その通りで期待以上の出来栄えでした, 70.961854
力をあわせた脚本でオスカーを受けとったマットとベンは本当に嬉しそうだった, 69.971753
ロビン・ウイリアムズはお決まりの役でしたが、この映画の中では適役でした, 67.806314
マット・デイモンを迎えに行ったが彼がいなかった時の、悲しくも嬉しい表情が一番好きなシーンです, 67.661408
とてもいい映画でしたが私には天才数学者としての主人公のキャラクターに今一違和感を受けました, 66.945229
マット･ディモンのキャラ設定が面白くて思わず興味を惹いたんだけど、サクセスストーリーものではなく、ちゃんとした人間ドラマだった, 65.332937
ラスト、ロビン・ウィリアムズが彼に接するシーンは良かった, 63.227615
ロビン・ウィリアムスがイイ味を出しすぎていた, 63.214366
