レビュー文, スコア
その意味で本作は「史上初の３Ｄ映画」と呼ぶにふさわしく、私が本作を体感して得た感動は、サイレントの時代にはじめてトーキー映画を体感した人々の感動、モノクロの時代にはじめてカラー映画を体感した人々の感動に通じるものだったと思います, 166.146510
この映画が名作なのは、全ての人に子供時代があり、その記憶が思い出となり懐かしさへと変わった時、この映画を観て人は自分の子供時代を照らし合わせて逝ってしまう記憶に涙し、感動するからだと思う, 145.883404
３Ｄ映画は他にも多くありますがそれらはアトラクションとして３Ｄを用いているに過ぎず、ストーリーテリングの道具として映画に従属させる形で３Ｄ技術を使いこなした作品は本作がはじめてです, 135.956052
最後、グレゴリー・ペックが記者として、プリンセスに戻ったオードリーと再会するシーン、一瞬驚いた後すべてを理解して満足そうな顔をするオードリー, 113.398177
（特に夜なんて）トトロが実際に存在してたらものすごく怖いでしょうが、子供の頃はトトロをかわいいと素直に思えたものです, 107.164731
観たことのあるストーリー、上映時間の長さ、以前観たファイナル・デッドサーキット３Ｄのいまいち感などで、かなりハードルを下げて望んだが・・・全てを圧倒する３Ｄのリアリティに目が釘付け、１６２分非常に楽しめた, 106.798631
ディズニーらしい映画で無論なハッピーエンドだが、感動的で音楽や映像美がさらに感動を呼ぶ感じで観終わった後の爽快感ときたら・・・まさに話題沸騰で、テレビでは連日「ありの～ままの～」が流れている, 102.674341
しかも、そのヒーローが元々おもちゃだという斬新な発想により、子供時代のおもちゃ遊びを懐かしむ大人の観客まで魅了しました, 98.080928
あの映像、ほぼＣＧなのだろうが、画面一杯に広がる映像の情報量に感動しきりだった、端にいるナヴィや動物たちの筋肉や翼の動き、モニター画面のそれぞれになにやら表示されているものやら・・・恐れ入りました, 97.716848
でこの作品はそんな不安は一切無く１・２共に最高作品だと思いますなんかグロイおもちゃがあったＣＧアニメの素晴らしさを教えてくれた作品, 97.200235
当時フルCGが話題にもなり、宣伝効果も高かったようで子供向きな映画…という印象が高かったが、観ればCG表現が実に細かくしっかりしたストーリーを基本に、個々のキャラがちゃんとその世界で生きている, 95.084988
オードリーの、オードリーによる、オードリーのための映画ですね, 94.638827
モーションキャプチャした俳優の動きや表情が、3D-CG で構築されたパンドラの世界にリアルタイムで投影されるという撮影現場は巨大なＶＲ環境で、それ自体が現代最高峰のゲームマシンとも言える, 94.132860
オードリー・ヘプバーンが残してくれた作品は驚くほど少ないが、オードリーの原点であり、サラサラのロング・ヘアの彼女を見られる貴重な作品でもある, 91.403283
自分にも覚えがあるけど、おもちゃで遊ぶ子供たちは、おもちゃに人格を持たせて心の中で喋らせています, 91.034080
可愛さ満点のオードリー、粋な二枚目のグレゴリ－・ペック、監督は名匠ウィリアム・ワイラー、アカデミー主演女優賞 …と、くればケチの付けようがありません, 90.481080
そしたら泣けたろーに・・・僕には１２歳の夏はなんの思い出もない、でも彼ら４人はその夏に死体探しの小さな冒険にでいた、そういうことの出来る仲間がいてうらやましい、僕にそういう仲間はいない、でも大人になった彼らの中にもうそのような日々は戻ってこないという様なラストは、凄く印象的だった, 90.373489
それらしい効果が発揮されるシーンが出るたびに、「お、今のコンソール、すごく３Ｄだった」とか、「このクラゲみたいなやつも、結構いいぞ」と、あたかも３Ｄ賃（＋３００円）の元を取ろうとするがごとく、見てしまったワタシは貧乏くさいです, 87.757712
子供の頃に見ていたらもっと感動できたのかもしれませんが、この年で初めて見てもこの作品が名作たりえる理由というのは存分に感じられました, 86.984046
普通、子供向けこの映画に素直に感動してスピルバーグ映画を見まくった思い出が蘇えってきました, 86.208419
古き良きアメリカの物語が何故か自分の子供時代と重なり、誰もが一度はどこかに冒険の旅をしたくなる、そんな気持ちを思い出させてくれた作品でした, 84.002963
うちは今中2で、あの頃の4人よりも2年も多く生きているけど、今までの人生を振り返ってみても、あの映画のような冒険は1度だって体験した事はない, 83.723526
彼の作品は激突、ジョーズやジュラシックパークなど恐ろしい作品やシンドラーのリストなどの戦争モノの作品もあるが、それら全く別のジャンルの作品を上手く作り分ける事が出来るのは、スピルバーグのすばらしい才能だと思う, 83.483679
地球へ来た宇宙人が地球の（つーかアメリカの）子供達と美しい友情を育む、というコンセプトのＳＦ映画は以前には殆ど皆無だったことを考え併せれば、本作の有する歴史的意義も決して軽視されるべきものではない, 81.443253
最後に現代に戻り、奴は今は～～で、とちょっぴり悲しいが主人公にはすでに子供がいて幸せに暮らしているという現実、彼はあの冒険を得て多くの友情との出会いそして別れがあり、現在の自分に至る, 80.603462
日常の喧騒の中に忘れ去ってしまった、子供の頃の甘酸っぱい思い出を一つ一つ思い出させて、切なく懐かしい気持ちにさせる、あるいは今の自分を見つめなおすように促してもくれる、そんな映画, 79.594381
宇宙人という未知のものを描くのは人から反感を買いやすい題材だが、スピルバーグは誰でも感動できるすばらしい作品を創ったのだと思う, 79.412698
それぞれに悩みと夢を抱く少年一人一人が、この小さな冒険で何かを得、何かを共有し、何かを伝え合い、そしてかけがえのない思い出となってゆく、そんな、言葉にできない感動がこの映画にはある, 78.756258
冒険を終えて町に帰って来てそれぞれ自分の家に戻りながら現在の状況を説明するシーンがとても好きで、特にリバー・フェニックスが消えていくシーンは恥ずかしながら涙が溢れてきそうになり、心が震えるほど感動しました, 78.344727
子供の頃が人生で一番楽しくて、そんな楽しい時は二度とおとずれないっていう言葉には、うなずくしかありませんでしたね, 78.253576
憧れのラブストーリーです何回見ても泣けるシンプルでビューティフル今となっては作れない映画はじめて見た時、オードリーの美しさにうっとりし、グレゴリーの涼しい瞳に恋をした, 77.635595
サツキがついに感情を抑えきれなくなり泣き出してしまう時の表情のくずれ具合に涙が溢れ、トトロの森に向かって駆け出す瞬間の周囲の声が無音になる表現に感心し、糸井重里の「案外そうかもしれないよ, 77.133309
オードリー・ヘップバーンの可憐さ、グレゴリー・ペックの二枚目ぶり・・・この映画の魅力は、何といっても主演の二人に尽きるでしょう, 77.017561
どなたもオードリー、オードリーって…ヘプバーンが魅力的であることに異論は無いが、チョット待ってよ, 76.348130
思い出しただけでも目頭が熱くなる名シーンの数々、あんな醜い生き物をあんなに可愛く見せる演出や子供向けながら大人も泣かせる脚本、そして何度聴いても胸をくすぶる音楽, 74.458094
素直に感動できた今回あらためて見直して、ＥＴに意思が通じると分かった主人公の少年が、身の回りの日用品やなんかを「これは何々で、これはこんな風に使うもので…」と夢中になって教えようとするシーンで涙がこみあげてきた, 73.398037
キャメロンが３Ｄ上映にこだわったのは戦闘シーンの大迫力を描くためではなく、パンドラの自然を表現することが目的だったと思います, 72.758391
３Ｄにより、パンドラの自然の美しさや躍動感が見事に表現され、見ている私達もパンドラを体験することとなるのです, 72.580921
私の若い頃は、スピルバーグはＳＦファンタジーの代表的な存在であり、ジョーズ 、未知との遭遇、Ｅ, 71.506158
最初に見たときは、サツキ、メイ、まっくろくろすけ、お父さんのボヨヨーンとした感じはお気に入りだったのですが、肝心のトトロに「ひいて」しまいました, 70.103552
おもちゃも、人間も仲良しが一番ですね☆とても面白かったです☆見た時は小学生の時で、見てみておもちゃを大切にしようと思いました, 69.766373
インディとかBTTF（製作だけど）とか、ジョーズ、激突は好きなんだけどそれ以外のスピルバーグはどうも好きになれないんだよなぁ…無理に感動系に持ってこうとしてる気がして, 69.594479
オードリー・ヘプバーン、グレゴリー・ペック、２人が魅力的すぎる, 69.099449
）映像は美しく、雪や氷の質感は驚くレベルで、歌も楽しく、素晴らしかったですが、ディズニー作品にしては「作られた感満載のストーリー展開」には残念ながら、感動出来ませんでした, 67.991254
メイの元気さがかわいい☆サツキとメイの母親が近くにいないことに対しての心境がうまく描かれていてサツキが思わず泣き出してしまうシーンは感動でした, 67.299634
ただひとついえるのは自分史上最高の映像体験と、何年先も色あせない感動を味わえたことです, 66.750608
最初は若いとき見てそれ程思わなかったのだが、30を過ぎ、子供も生まれてまた見たら、自分の小さな頃の事とかいろいろ思い出してきました, 66.379698
キング、死体、線路、大好きなベン・Ｅ・キングの曲など、わくわくするもの満載なのですが・・・期待しすぎていたせいかもしれないです, 66.319040
当時単純に感動しました＾＾感動あり、笑いありのかなり層の厚いストーリーでした, 65.582369
パステルトーン中心の色彩は、それまでのＣＧの、こってりした画調のイメージを変えましたし、おもちゃが主役という事で、ＣＧでも自然に見られて, 65.425639
本作をＤＶＤで見ようなどもっての他、劇場にて３Ｄで鑑賞すること、この衝撃がもっとも新鮮な今味わうことが重要な作品です, 65.371169
子供のころ、トトロっていう不思議な生き物にどれだけ憧れ、夢見たことか, 64.026292
子供の頃はなぜか怖かったのですが、最後はやはり感動したのを覚えています, 63.801811
当時は「風の谷のナウシカ」や「天空の城ラピュタ」が劇場アニメだと思っていたので、こんなレベルの映画で金を出して見に行く人がいるのかなって思っていましたが, 63.015436
子供の頃、ものすごく気に入って映画館に２回行った初めての映画, 61.868760
将来、自分の子供にはこういう映画に素直に感動できる人になってほしい・・・が私はだめだった, 61.847128
今、１２歳くらいな子どもでも感動できるが、大人になってからの方が感動できるからだ, 61.445490
宮崎アニメの中では、ほのぼのとしているトトロが一番好きです, 61.365955
俳優を排除した全編ＣＧなどの作品に手を染めることはせず、この作品ではまず俳優とＣＧをシームレスに接続した, 60.823962
子供に安心して見せられる内容だとは思いますが，私は年を取りすぎていてあまり感動できませんでした, 60.387694
あんな物分りの良い父親は少なかったろうけど・・・（笑）かなりおもしろい最近アクションやサスペンスばかり見ている僕には、本当にほのぼのしてしまう～・・・この年、アニメにしてキネマ旬報（邦画部門）の１位にも輝いていた, 59.326355
誰もが持っている少年（少女）の頃の思い出をオーバーラップさせることで、彼ら４人に感情移入して行くのだと思います, 58.699876
ただ、その何か普遍的で価値のあるものを「トトロ」というキャラクターで包んで描き出した宮崎駿は、やはり偉大だなと思う, 58.670630
やっぱり、観たときが子供だったから感動できたのか、今見るとどうなんだろう, 58.550927
スターウォーズの前の3部作をコレの公開直前に初めてみて、「うわ、主人公の2人かわいくなーい」が第一印象の私にとって、見目がかわいい主人公達は大歓迎, 58.474072
でも、今商業ベースで最高のレベルの３Ｄ技術の限界をみた感じです, 58.409636
そして大人になった僕らはあの頃の少年に戻れずそれぞれの人生を歩んでいる, 57.894644
ディズニーのCGアニメって、個人的にあの絵が苦手でどうしても敬遠してしまいがちなんだけど、これは満足に楽しめた, 57.750202
なにもかも綺麗に映っていたあの頃（少年期）には、もう二度と戻れない事を少し寂しく思いますが、今はそれも自分にとって大事な宝物の一つです, 57.538219
まだハリウッドの権力者ではなかったスピルバーグが大人にも子どもにも楽しんでもらおう、と思ったかどうかはしらないが、悪人をひとりも出さずにマジメに一生懸命つくった作品として評価したいです, 57.030203
だから、これから先何十年生きられるか分かんないこの短い人生を、あの少年たちのような心に残る冒険でいっっっぱいにしていこうって思った, 56.964298
