レビュー文, スコア
ＣＧがメインというよりもジム・キャリーの演技がメインで、ＣＧはたの味付けみたいな感じと思わせるほどのジム･キャリーの表情の変化はこれからの活躍の片鱗を十分に見せていますね, 222.492587
マスクも顔こそＣＧで隠れるがジムキャリーの独特の仕草や、キャメロンディアスの可愛さが見事に活きている, 171.685480
好み45/50、演出10/15、脚本7/15、演技9/10、技術10/10、合計81/100→8/10点インターステラ―を鑑賞して、こちらを思い出しコメント必ず見て欲しい人・アポロ１３大好きっ子・ブルーレイ「月と地球」を持ってる人・アルマゲドンに憎しみしか感じない人ｗ※字幕+吹替で鑑賞何の説明もなく、いきなり本題から入っています, 159.356640
ジム･キャリーの顔芸は感動モノで、キャメロン・ディアスがとっても可愛い, 155.536485
 小心でオドオドしたスタンリー･イプキスと、大胆で怖いモノ知らずなマスクを演じわけるジム･キャリー自身が最大の魅力でILMのCGはあくまでサポート、極端な二面性はオプティミスティックなジキルとハイド, 152.588758
まぁ～俺的には現代版ゾンビとも言って良いほどの出来ゲーム版の映画化と余り期待していなかったのが幸いしたのかゲームの怖さも相まってかなり面白いミラ・ジョヴォヴィッチも適役でかなり魅力的（01）が単なるラッキーパンチで終らぬよう続編に期待したい↓下に、よどがわさんやMAYURAさん、masaさんも書かれてましたが、隊長, 143.478728
劇場で3D映画を見たのはアバター以来だが、３Dの奥行きで世界観というだけのアバターとは違い、作りがいかにも3D映画という感じになっており、ディズニーランドの3D映画のように、目の前にモノが飛んできたり、自分がちゃんと映画の世界の中に入り込んで宇宙空間を体感できるような、いかにもな撮り方をしている, 141.134280
ジム・キャリーにとっては出世作、キャメロン・ディアスにとっては正真正銘のデビュー作, 136.802223
ジム・キャリーのオーバーアクションに疲れた映画でした……が、初々しいキャメロン・ディアスが超セクシー＆かわいかったので良かった、良かった（笑）, 132.777706
ジム･キャリーって、演技や表情がやたらオーバーアクションで、何となくいけすかない奴なんだけど、他の役者ではここまで面白くはならなかったでしょ, 119.345763
結果的にいうとミラ・ジョヴォヴィッチ嬢箕櫃里燭瓩遼・⑰撚茲鵬瓩・覆､ゾンビＶＳ人間ってゲームでは新しくても映画ではお決まりパーターンって感じ・・・ゲームのバイオは何度もやってて、結構好きだったんですが、なんかホラーではなくなってます, 118.919566
胸をワクワクさせるチョコレート工場のチョコレート製造のオープニングから、チョコレート工場の門が開くまでここまででも十分面白いのに、そこから当の主人公ウィリー・ウォンカが登場して物語は更に面白くなる, 118.801855
キャメロンかわいかった☆ジム・キャリーのワンマンショーという感じで単純に楽しめる, 117.552875
しかし、CGにも負けないジム・キャリーの顔芸も成功の大きな要因の一つだと思います, 111.132060
当時のキャメロン・ディアスのほうが今より美人でしたね当時はまだCGが珍しく、マスクをつけた時に飛び出すギミックの数々に驚かされたものだが、ストーリー自体は別に面白くも何ともなかった, 110.321931
ジョニー・デップの存在感に加え、原色を使ったセットの数々はいつもながらセンスを感じさせるし、いざというときに歌うウンパルンパも楽しいが、それ以上に盛り込まれたブラック・ユーモアはファンタジーというよりも教訓的な寓話を作り上げていて、そこがバートンの父親の視点も強く感じさせる, 110.050634
上映前ＩＭＡＸの宣伝映像からコリャ今までの３Ｄと違うぞ感が満載で、予告編の宇宙ぐるぐる映像を見せられたら酔って吐いちゃうかも・・などと想像しながら望んだ次第, 102.308393
