レビュー文, スコア
デイブさんがアカデミー賞を穫ることができた理由を「アカデミーの審査員は年寄りが多いから、納棺の儀に興味を持ったのではないか」とコメントしていたが、年寄りに限らず、死と無縁の人間はいないわけで、映画を観ている我々もいつかあんな風に送られる人になるのだ、と思うと、スクリーンを見つめている劇場の人々みんなに奇妙な連帯感を一方的に感じたりして、分かりやすいストーリーが静かに進む中、実にさまざまなことに想いを巡らせてしまった, 149.599735
アクションやホラー映画・ゲームの中では「子供や子供の容をした登場人物はゾンビでも殺すシーンを自粛しろ」というハリウッドの倫理ガイドラインができてからは、世界的にその流れになり子供や家族が主人公のホラー映画はエンディングが見えてしまい興ざめでしたが、この作品は問題なく楽しめました, 99.151460
もっくんの所作の美しさんに感嘆し、ヒロスエのいまだ衰えぬみずみずしさも好感が持ち（たしかに年齢差はあれど、納棺師の妻という役柄からある程度の生命力の感じられる若さが必要だったのだろうと想像する）、余さんに関しては思わず次の日にテレビでやっていた「女タクシードライバーの事件簿」をつい見てしまったぐらい、素敵な女性だと再認識, 71.054389
グロい描写やホラーの緊迫感などゾンビ映画のお約束も十分に楽しめたが、一番印象に残ったのはマニュアル重視で普通の人間を皆殺しにすることと、軍人が子供を逃がすと言う行動が正義とはかけ離れたその後の破滅をもたらすと言う相反している所の巧さ, 67.634758
いかにも日本ならではの情景や儀式が描かれているので、アカデミー外国語映画賞を受賞したのはなんとなく理由が分かる気はするが, 67.089121
と効いていたのになぜか人類の夜明けで猿人たちのシーンが（前情報を一切仕入れずに見たので・・・）・・・でやがて道具をつかうという知恵をもつ猿人、猿人が投げた骨が・・・宇宙船のシーンにかわるあの伝説的な演出をみて、一気にこの映像技巧にのめりこみました, 65.703158
受賞直後に本作の興行成績がうなぎ上りに上昇したことは記憶に新しいが、こういったコテコテの純日本産の作品が世界で認められたというのは日本人としてはやっぱり喜ばしいことなんではないだろうか…, 64.914753
ウィルスがなかったらどれほど幸せな家族だっただろうか前作は自分の見たゾンビ映画では最高の出来の作品だったので、今回は期待して鑑賞しました, 62.694989
関係者ですら予想しなかったアカデミー賞受賞は、結局投票者がいくらクオリティを考えても、結局エモーションには勝てなかったということだろう, 60.589124
「納棺」という仕事と、それに携わる人間の姿を、決してあざとく美しく見せようとするわけではなく、あくまでその仕事の根幹にある“真剣さ”をまっすぐに描き出すことで、シンプルで深い感情をえぐり出す, 59.608295
無重力の演出、とくに複雑な宇宙船の設計はさすがです・・・最近の映画は床に重量発生装置があるとかなっていて、宇宙船の設計は重力がある世界の設計で面白くありません, 57.446045
