レビュー文, スコア
今までビデオでしか観たことのなかったこの作品が､より美しい映像でリバイバル上映だなんてこれは観ないわけにいきません｡ということで公開初日からシネコンで観てしまいました｡土曜日の夕方で､初日なので指定席です｡……いやぁ～～～初めてですよ､観客2人という映画｡ものすごくVIPな気分でしたね｡もう1人のお客さんもエンドロールが終わるまで立ち上がらなかったところを見ると､彼もコアなマニアなのだろう｡やっぱり田舎の映画館はいいなぁ｡潰れないことを切に願います｡とこれでは感想になっていないので｡バートンのオタクっぷりを堪能する映画ですね｡楽しいです｡不気味なはずのモンスターがユニークで愛らしい｡でも吹替えしか上映していなくて､吹替えで観るミュージカルはやっぱちょっとツライ｡かなり無理やりな日本語でした｡良い音楽だろうに､その良さが伝わってきませんでした｡ダニー･エルフマン自身の歌声が聴いてみたかったです｡個人的にオマケの2本の方が爆笑してしまったのでちょっと厳しい点数になりました｡アニメのようでアニメでない不思議な世界, 161.454363
湯川が石神の代弁者となるためには彼と紙一重の人物像であることが重要であり、人を惹き付ける魅力が偶然備わっていた湯川は幸福な人生を送り、根は同じであっても魅力に欠けた石神は日陰の人生を歩んでいる（冒頭、福山雅治が「愛など下らん」とキザに言う場面は、実はかなり重要）、そのためには堤である必要があったのです, 132.933047
どこかスピード感を感じるサスペンスで電話ボックスの中だけで、あそこまでスリルを感じたのは演出のうまさとコリン・ファレルの迫真にせまる演技のせいだと思います, 122.619510
犯人はもちろん、映し出される限られた空間から離れた場所にいる妻（冒頭部）、あるいは上司の指示で水面下で動く警官たち等、空間外の動向はけして画面に映すことがなく、そのことによって想像力を掻きたてられると同時に電話ボックスの動向からは目を離せないと思わせるだけの緊張感は持続し続ける, 112.903073
この映画、猫の国に行く前までと猫の国から帰ってきてからの短い時間、つまりハルの日常生活のシーンの方がよほど面白く描けていて、そういう普通の時間をいい感じで描けてるのはいいなと思いました, 109.010974
1500年前地球は宇宙の中心と考えられていた500年前まで地球は平ら15分前まで君は宇宙人を信じていなかった常識なんて儚いものさという台詞は、トミー・リー・ジョーンズが新人エージェントしてウィル・スミスをスカウトするシーンで発せされる, 99.866434
携帯電話では決して成立し得ない、昨今では珍しい“公衆電話ボックス”という小さな小さな空間から、やがてこの作品世界は際限なくグローバルに広がっていくという、今までにない独自性をまず感じさせられる, 98.892963
犯人の動機がいまいち薄っぺらく感じてしまったので、7点に留めておこうと思ったが、コリン・ファレルの名演と、２週間で撮ったという斬新な撮影方法を知り、プラス１点, 92.300139
コリン・ファレルの電話ＢＯＸ相手の一人芝居が凄く良かった, 85.300209
主題歌に１点、ジブリのネームバリユーに１点、クーラーのきいた映画館という仮眠場所を提供してくれたことに１点・・・ジブリは早く宮崎駿から卒業してほしかった, 83.797120
携帯電話がこれだけ普及している世の中で、電話ＢＯＸを題材にしたところは面白いのですが、８１分の殆どをこのシーンで埋めるのは大変だったんではないでしょうか, 83.189883
ネットの情報の受け売りだが、「平成狸合戦ぽんぽこ」で開発された団地に、「耳すませば」の主人公月島雫が住んでいて、月島雫が生み出した物語が「猫の恩返し」だという裏設定を敷いてみると、各作品との“連なり”がとても興味深く、各作品の味わいがまた一つ深まる, 81.679397
電話ボックスとその周りという極めて限られた空間のみで進んでゆく展開でありながら、間延びなど一切無い緊張の持続はお見事というしかない, 79.167245
でもまあ、やっぱりこの手の映画で一番重要なのはいかに観客に緊張感を与えるかなわけで、それには成功していると思うし、コリン・ファレルとフォレスト・ウィテカーもハマってたよ, 78.491956
二本足で直立した時の猫の絵もなんかヘンで、プロのアニメーターが描いたとは思えない違和感を感じる（パンフの止め絵を見るとそれが如実に分かる）, 78.372621
某掲示板などでは、このアニメ・マンガ・小説に詳しい方々らが盛んに消失の話は格段に良いという事が数年前からよく書かれていたので密かに期待していたのですが、いざレンタルて観たところ、その通りで期待以上の出来栄えでした, 77.531169
私はドラマも大変好きで、全話＋スペシャルを見てから鑑賞に望んだのだが、ドラマを見ていなくてもストーリーが理解できるように、キャラクターだけで魅せる脚本はさすがだなと感じた, 77.523028
主役はキーファー・サザーランドの声だね、舞台仕立てで場面を買えず映画の中で時間の空白がない、コンパクトにまとまりテンポの良さが緊迫感を生む、ストリートガールたちとか脇役も味を出している、オープニングの仕上がりも秀逸、シューマーカー監督がこういう映画にトライするとは、さすが, 75.415819
キング原作の映画は大体ハズしてくれるので、原作「監獄のリタ・ヘイワース」の大ファンだった自分としては映画の方は半分あきらめ気分で観たのですが、いい意味で期待を思いっきり裏切ってくれました, 74.484485
正直、ターゲットがコリン・ファレルみたいな売れてる俳優さんで、しかも浮気してない時点で、ある程度展開も予想できてもーた, 74.409281
