レビュー文, スコア
この映画が名作なのは、全ての人に子供時代があり、その記憶が思い出となり懐かしさへと変わった時、この映画を観て人は自分の子供時代を照らし合わせて逝ってしまう記憶に涙し、感動するからだと思う, 166.343092
 アリスの映像化はシュヴァンクマイエルのものなど多々ありますが、一番有名なのはディズニーのアニメーションで子供が最初に接するのもこれですが、アリスというものを知れば知るほどこれから離れていくのはこれもアメリカのアリスだからで、本当はイギリスが教訓なしの遊び心だけのアリスを作るべき, 141.843611
サム・ライミ、ロブ・タパート、スティーヴン・サスコ、サラ・ミシェル・ゲラー、クレア・デュヴァル、テッド・ライミ、ジェイソン・ベア、ケイティ・ストリックランドたちがこの映画について喋ってるオーディオ・コメンタリーの方が日本はどんな所とか日本には撮影前に御祓いをする儀式があるとか清水崇は面白い人だとか石橋凌はロック歌手だとか日本のホラー映画「オーディション」は怖かったとか色んな事が聞けて面白かった, 138.912990
うちは今中2で、あの頃の4人よりも2年も多く生きているけど、今までの人生を振り返ってみても、あの映画のような冒険は1度だって体験した事はない, 117.143626
原作ゲームは緊迫に満ちたサバイバルホラーからスタートして徐々にアクションゲームの様相が強くなったけど、映画の方もアリスの能力に頼りすぎたアクションゲームのようで、それ以外に見どころが無くなって来た, 116.659103
日常の喧騒の中に忘れ去ってしまった、子供の頃の甘酸っぱい思い出を一つ一つ思い出させて、切なく懐かしい気持ちにさせる、あるいは今の自分を見つめなおすように促してもくれる、そんな映画, 114.289473
そしたら泣けたろーに・・・僕には１２歳の夏はなんの思い出もない、でも彼ら４人はその夏に死体探しの小さな冒険にでいた、そういうことの出来る仲間がいてうらやましい、僕にそういう仲間はいない、でも大人になった彼らの中にもうそのような日々は戻ってこないという様なラストは、凄く印象的だった, 111.487372
そりゃあね、アクション映画なんだからアクションが楽しめればそれで良いのですけれど、何しろ突っ込みどころ満載でアクションに集中できませんでした（涙）どこかで見たような、という言葉が頭に浮かびっぱなしの２時間少々, 108.539137
もっとも、人間の死生観を探究するといった哲学的なテーマよりも、ベイらしいアクション主体の娯楽作品であることに変わりは無く、映画の中盤で炸裂する大スペクタクル・ショーは、いかにも彼らしい躍動感に溢れたものであり、ダイナミックなエンターティンメントとして純粋に楽しめる出来だ, 105.190741
古き良きアメリカの物語が何故か自分の子供時代と重なり、誰もが一度はどこかに冒険の旅をしたくなる、そんな気持ちを思い出させてくれた作品でした, 100.128859
90年代を代表する大コケ映画と言われていますが、1億7500万ドルの製作費に対して興行成績は全世界で2億6400万ドル（1995年の公開作中第9位）とそこそこのヒットとなっており、コケ方で言えば同年の「カットスロート・アイランド」の方が遥かに上, 96.983133
最後に現代に戻り、奴は今は～～で、とちょっぴり悲しいが主人公にはすでに子供がいて幸せに暮らしているという現実、彼はあの冒険を得て多くの友情との出会いそして別れがあり、現在の自分に至る, 96.533798
しかし自分自身が大人になった今、改めてこの映画を観た時、中学生の自分には響かなかった何かが自分の心に響き、名作といわれる理由がわかった気がした, 95.860105
この時代において必要なことは、自分と異なる他者を寛容することと、自分の運命は自分で決めるという意志だということを高らかに宣言しているように思えた, 92.799648
子供の頃が人生で一番楽しくて、そんな楽しい時は二度とおとずれないっていう言葉には、うなずくしかありませんでしたね, 87.904525
冒険を終えて町に帰って来てそれぞれ自分の家に戻りながら現在の状況を説明するシーンがとても好きで、特にリバー・フェニックスが消えていくシーンは恥ずかしながら涙が溢れてきそうになり、心が震えるほど感動しました, 86.882183
総合して、衣装などの小道具と舞台の美しさで+５点、内容は±０点、役者さんたちの演技に+３点、3D眼鏡最悪という意味で-２点の、計６点です, 86.707741
そもそもこの物語は、ルイス・キャロルが1865年に発表した児童文学であり、今作にしても、子供から大人まで楽しめる娯楽映画という位置づけであることは言うまでもない, 86.106885
おかげで一応大人風味の映画って感じに仕上げてもらってましたし、いいんではないでしょかあ、正直、日本版ではトシオ君の幼稚さが全てを台無しにしてしまってた気が致してましたが、けども今回そのトシオ君が成長していたお陰で少なくとも間抜けはしてなかったしでなんか救われてたんではないでしょかあ、それに案外心地がよかったよ、ズバッズバッと知ってる展開に繋がってってくれてますからさー, 85.197669
水上バイクのアクロバットや多量の火薬を使ったアクションシーン、セットの壮大さなどずいぶんお金をかけてるのが分かるし、コスナーは終始頑張ってることだし（USJのアトラクションてそのまんまなのね）, 84.852350
なにもかも綺麗に映っていたあの頃（少年期）には、もう二度と戻れない事を少し寂しく思いますが、今はそれも自分にとって大事な宝物の一つです, 84.834587
ストーリー設定として「クローン人間」が取り上げられているところが現代的であるが、本質的にはアクション映画であるため、このテーマに対する深い掘り下げは当然ないし、なくてよいと思う, 83.238913
暗めのカルト映画やクローンを扱った社会派の映画を期待する人にはお勧めできませんが、単純にアクション映画を楽しみたい人には良いのでは, 83.196522
それぞれに悩みと夢を抱く少年一人一人が、この小さな冒険で何かを得、何かを共有し、何かを伝え合い、そしてかけがえのない思い出となってゆく、そんな、言葉にできない感動がこの映画にはある, 81.634817
僕も二人の登場シーンを楽しみにしている一人です（笑）日本劇場版に若干ビデオ版を取り入れただけの、今までの集大成というか良いトコ取りで上手くまとめた印象, 80.926454
